"id","code","name"
"giro_000264","26600","Fabricación de equipo médico de irradiación y equipo electrónico de uso médico y terapéutico"
"giro_000265","26700","Fabricación de instrumentos de óptica y equipo fotográfico"
"giro_000266","26800","Fabricación de medios magnéticos y ópticos"
"giro_000267","","FABRICACIÓN DE EQUIPO ELÉCTRICO"
"giro_000268","27100","Fabricación de motores, generadores, transformadores eléctricos, aparatos de distribución y control de electricidad"
"giro_000269","27200","Fabricación de pilas, baterías y acumuladores"
"giro_000270","27310","Fabricación de cables de fibra óptica"
"giro_000271","27320","Fabricación de otros hilos y cables eléctricos"
"giro_000272","27330","Fabricación de dispositivos de cableados"
"giro_000273","27400","Fabricación de equipo eléctrico de iluminación"
"giro_000274","27500","Fabricación de aparatos de uso doméstico"
"giro_000275","27900","Fabricación de otros tipos de equipo eléctrico"
"giro_000276","","FABRICACIÓN DE MAQUINARIA Y EQUIPO NCP"
"giro_000277","28110","Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas"
"giro_000278","28120","Fabricación de equipo hidráulico"
"giro_000279","28130","Fabricación de otras bombas, compresores, grifos y válvulas"
"giro_000280","28140","Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión"
"giro_000281","28150","Fabricación de hornos y quemadores"
"giro_000282","28160","Fabricación de equipo de elevación y manipulación"
"giro_000283","28170","Fabricación de maquinaria y equipo de oficina"
"giro_000284","28180","Fabricación de herramientas manuales"
"giro_000285","28190","Fabricación de otros tipos de maquinaria de uso general"
"giro_000286","28210","Fabricación de maquinaria agropecuaria y forestal"
"giro_000287","28220","Fabricación de máquinas para conformar metales y maquinaria herramienta"
"giro_000288","28230","Fabricación de maquinaria metalúrgica"
"giro_000289","28240","Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción"
"giro_000290","28250","Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco"
"giro_000291","28260","Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros"
"giro_000292","28291","Fabricación de máquinas para imprenta"
"giro_000293","28299","Fabricación de maquinaria de uso especial ncp"
"giro_000294","","FABRICACIÓN DE VEHÍCULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES"
